ID;YEAR;ASSETS;EQUITY;SALES;NET_PROFIT;ROA;TLTE;DEBTSTRUCT;ROE;INDB;IND;INFR;PEOPLE;PARTNERS
27;2019;144263000;82485000;218218000;26228000;0,181806839;0,748960417;0,299425355;0,317972958;0;1;3;2;2
27;2020;129037000;76886000;219634000;30729000;0,238140998;0,678302942;0,27645559;0,399669647;0;1;3;2;2
28;2018;126273000;55888000;114608000;-529000;-0,004189336;1,259393788;0,553404132;-0,009465359;0;1;3;2;2
28;2019;118552000;38712000;110202000;397000;0,003348741;2,062409589;0,668938525;0,010255218;0;1;3;2;2
28;2020;104243000;33956000;101486000;86000;0,000824995;;0,674261101;0,002532689;0;1;3;2;2
29;2018;92853000;89723000;69890000;12573000;0,13540758;;0,033709196;0,140131295;0;1;3;2;2
29;2019;105467000;100009000;99410000;25191000;0,238851963;;0,051750785;0,251887321;0;1;3;2;1
29;2020;125607000;117895000;118810000;17886000;0,142396522;;0,061397852;0,15171127;0;1;3;2;2
30;2018;186922000;80554000;195608000;17895000;0,095735119;;0,569050192;0,222149119;0;1;3;2;2
30;2019;277459000;109753000;370504000;52204000;0,188150321;;0,60443525;0,475649863;0;1;3;2;2
30;2020;249676000;118790000;315337000;66786000;0,267490668;;0,524223394;0,562219024;0;1;3;2;1
31;2018;284454000;19229000;217747000;632000;0,0022218;;0,932966314;0,032867026;0;1;3;2;1
31;2019;367047000;49593000;296038000;30373000;0,082749621;6,404230436;0,809446747;0,612445295;0;1;3;2;2
31;2020;317383000;57784000;238463000;8202000;0,025842594;4,495050533;0,753795887;0,141942412;0;1;3;2;2
32;2018;199907000;189727000;202579000;37861000;0,189393068;0,058004396;0,054225215;0,199555144;0;1;3;2;2
32;2019;154307000;145270000;209763000;29222000;0,189375725;;0,058992787;0,201156467;0;1;3;2;2
32;2020;161474000;146291000;210336000;44312000;0,274421888;0,103786289;0,077863929;0,302903116;0;1;3;2;2
33;2018;1848000000;1573000000;1846000000;82000000;0,044372294;;0,148809524;0,05212969;0;1;3;2;2
33;2019;1952000000;1686000000;1973000000;112000000;0,057377049;;0,136270492;0,066429421;0;1;3;2;2
33;2020;1994000000;1733000000;2138000000;47000000;0,023570712;0,150605886;0,125376128;0,0271206;0;1;3;1;1
34;2018;970234000;137287000;1219424000;21553000;0,022214229;6,067195;0,797388053;0,156992286;0;1;3;2;1
34;2019;1023331000;274117000;1482599000;84867000;0,082932111;2,733190572;0,489054861;0,309601367;0;1;3;2;2
34;2020;1020400000;336544000;1785120000;62426000;0,061177969;2,031995816;0,394434535;0,185491353;0;1;3;2;2
35;2018;229045000;92926000;172113000;1221000;0,00533083;;0,594289332;0,013139487;1;2;3;2;1
35;2019;139984000;93895000;160792000;968000;0,006915076;;0,329244771;0,010309388;1;2;3;2;2
35;2020;187317000;95073000;208973000;1178000;0,006288805;;0,49244863;0,012390479;1;2;3;2;2
36;2018;459206000;412512000;274893000;37620000;0,081924017;0,118338376;0,063620684;0,091197349;1;2;3;2;2
36;2019;447842000;387819000;283268000;30446000;0,067983798;0,159883863;0,089196636;0,078505695;1;2;3;1;2
36;2020;497993000;419434000;305910000;31755000;0,063765957;0,191694045;0,116152235;0,075709172;1;2;3;1;2
37;2018;191996000;85411000;112876000;-2776000;-0,014458635;1,247907178;0,186847643;-0,032501668;1;2;3;2;2
37;2019;182208000;83715000;108320000;691000;0,003792369;1,176527504;0,151184361;0,008254196;1;2;3;1;2
37;2020;194741000;84744000;121341000;1391000;0,00714282;1,297991598;0,153336996;0,016414141;1;2;3;2;2
42;2018;278185000;168191000;398136000;21743000;0,078160217;;0,395398745;0,12927565;1;2;3;2;2
42;2019;239038000;109123000;377279000;20932000;0,087567667;1,190537284;0,496636518;0,191820234;1;2;3;2;2
42;2020;194867000;117064000;394611000;29514000;0,151457148;0,664619354;0,393719819;0,252118498;1;2;3;2;2
43;2018;157818000;73121000;143116000;4585000;0,029052453;1,169007535;0,088589388;0,062704287;1;2;3;2;2
43;2019;141129000;78974000;160455000;5919000;0,041940352;0,796021475;0,109991568;0,074948721;1;2;3;2;2
43;2020;121771000;79275000;115957000;1012000;0,008310682;0,536058026;0,104597975;0,012765689;1;2;3;2;2
44;2018;838927000;6956000;264326000;799000;0,000952407;119,6048016;0,991254305;0,114864863;1;2;3;1;2
44;2019;847085000;12859000;163243000;5974000;0,007052421;64,87487363;0,600190064;0,464577347;1;2;4;3;2
44;2020;1026342000;10073000;350267000;-3614000;-0,003521243;100,8904001;0,607412539;-0,358780891;1;2;3;1;2
45;2018;243778000;207697000;185513000;23073000;0,094647589;0,173719409;0,13204637;0,111089714;1;2;3;2;2
45;2019;191759000;163800000;150656000;6103000;0,031826407;0,170689866;0,130601432;0,037258852;1;2;3;2;2
45;2020;144742000;100866000;131420000;-12934000;-0,089358997;0,434992961;0,289031518;-0,128229529;1;2;3;1;2
46;2018;52249000;4405000;96791000;1145000;0,021914295;10,86129398;0,64152424;0,259931892;1;2;3;2;2
46;2019;81369000;5558000;135018000;1153000;0,014170016;13,63997841;0,792291905;0,207448721;1;2;3;2;2
46;2020;109852000;6825000;236019000;1266000;0,011524597;15,09553114;0,867376106;0,185494512;1;2;3;2;2
49;2018;152253000;130129000;166810000;19718000;0,129508121;0,170015907;0,118125751;0,151526555;0;1;3;2;2
49;2019;153482000;126409000;167279000;11180000;0,072842418;0,214169877;0,139879595;0,088443071;0;1;3;2;1
49;2020;145847000;122894000;169296000;14385000;0,098630757;0,186770713;0,114935515;0,117052093;0;1;3;1;2
50;2018;186518000;95518000;147358000;2562000;0,01373594;0,952700015;0,447452793;0,02682217;0;1;3;2;2
50;2019;240068000;96906000;146627000;1386000;0,005773364;1,477328545;0,308004399;0,01430252;0;1;3;2;2
50;2020;208387000;96912000;139224000;6000;2,87926E-05;1,150270348;0,298843018;6,19118E-05;0;1;3;2;2
51;2018;634875000;195607000;802404000;57039000;0,089842882;2,245666055;0,281499508;0,291599989;0;1;3;2;1
51;2019;700227000;239367000;764767000;43760000;0,06249402;1,925328053;0,258480464;0,182815507;0;1;3;1;2
51;2020;878558000;248250000;647614000;8883000;0,010110886;2,539005035;0,236933703;0,035782479;0;1;3;2;1
52;2018;216700000;111386000;184096000;22044000;0,101725888;0,945486865;0,096626673;0,197906375;0;1;3;2;2
52;2019;214869000;124193000;164425000;12807000;0,059603759;0,730121665;0,156904905;0,103121758;0;1;3;2;2
52;2020;195998000;125788000;163366000;2212000;0,011285829;0,558161351;0,117904264;0,017585143;0;1;3;2;2
53;2018;10067000000;538000000;6632000000;51000000;0,005066057;;0,946558061;0,09479554;0;1;3;2;1
53;2019;13452000000;566000000;6741000000;28000000;0,002081475;;0,957924472;0,049469966;0;1;3;2;1
53;2020;12139000000;598000000;6850000000;34000000;0,00280089;;0,950737293;0,056856189;0;1;3;2;1
54;2018;285079000;8695000;245983000;2484000;0,008713374;31,78654399;0,923508922;0,285681427;0;1;3;2;2
54;2019;325786000;11291000;243043000;2596000;0,007968421;27,85360021;0,671345607;0,229917631;0;1;3;2;2
54;2020;286677000;7573000;274252000;5477000;0,019105125;36,85514327;0,712920813;0,723227262;0;1;3;2;2
55;2018;125686000;111340000;151007000;-13587000;-0,108102732;;0,114141591;-0,122031614;0;1;3;2;2
55;2019;123621000;101027000;156395000;-10413000;-0,084233261;;0,1827683;-0,103071459;0;1;3;2;2
55;2020;115687000;96081000;153989000;-4949000;-0,042779223;;0,16947453;-0,051508624;0;1;3;2;2
56;2018;39128000;38615000;13081000;36000;0,000920057;0,013284993;0,013085259;0,00093228;0;1;3;2;2
56;2019;50645000;37577000;12350000;102000;0,002014019;0,347765921;0,257498272;0,002714426;0;1;3;2;2
56;2020;405219000;197020000;232254000;4995000;0,012326668;1,056740432;0,106668246;0,025352756;0;1;3;1;2
57;2018;112215000;73337000;135070000;17069000;0,152109789;0,530128039;0,346067816;0,23274745;0;1;3;2;2
57;2019;109926000;69732000;132376000;7926000;0,072103051;0,576421155;0,364990994;0,11366374;0;1;3;2;2
57;2020;106763000;70553000;132839000;16453000;0,154107696;0,513231188;0,338338188;0,23320058;0;1;3;1;2
58;2018;133295000;80728000;166809000;6170000;0,046288308;;0,39436588;0,076429494;0;1;3;2;2
58;2019;142056000;78578000;162967000;-2150000;-0,015134876;;0,446851946;-0,027361348;0;1;3;2;1
58;2020;146277000;80604000;162392000;2026000;0,013850434;;0,448963268;0,025135228;0;1;3;2;2
59;2018;199302000;-5340000;167450000;-8634000;-0,043321191;-38,32247191;1,017305396;1,616853952;0;1;3;2;2
59;2019;244170000;-26701000;184589000;-21361000;-0,08748413;-10,14460133;0,156616292;0,800007463;0;1;3;2;2
59;2020;242133000;-38981000;219801000;-12280000;-0,050715929;-7,211564608;0,180033287;0,31502527;0;1;3;2;2
